INFO 2025-02-23 17:21:40,174 autoreload 10820 1704 Watching for file changes with StatReloader
DEBUG 2025-02-23 17:21:40,321 factory 10820 1704 Not in REPL -> leaving logger event level as is.
DEBUG 2025-02-23 17:21:40,323 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.address`.
DEBUG 2025-02-23 17:21:40,325 factory 10820 1704 Provider `faker.providers.address` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:21:40,326 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.automotive`.
DEBUG 2025-02-23 17:21:40,328 factory 10820 1704 Provider `faker.providers.automotive` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:21:40,328 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.bank`.
DEBUG 2025-02-23 17:21:40,330 factory 10820 1704 Provider `faker.providers.bank` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:21:40,330 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.barcode`.
DEBUG 2025-02-23 17:21:40,331 factory 10820 1704 Specified locale `zh_CN` is not available for provider `faker.providers.barcode`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:21:40,331 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.color`.
DEBUG 2025-02-23 17:21:40,332 factory 10820 1704 Specified locale `zh_CN` is not available for provider `faker.providers.color`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:21:40,332 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.company`.
DEBUG 2025-02-23 17:21:40,335 factory 10820 1704 Provider `faker.providers.company` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:21:40,335 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.credit_card`.
DEBUG 2025-02-23 17:21:40,335 factory 10820 1704 Specified locale `zh_CN` is not available for provider `faker.providers.credit_card`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:21:40,335 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.currency`.
DEBUG 2025-02-23 17:21:40,337 factory 10820 1704 Specified locale `zh_CN` is not available for provider `faker.providers.currency`. Locale reset to `en_US` for this provider.
